product_code,Business Unit,Type,Products Business Line Leader,Subtype,Product Name,Brand Name,Brand Manager
10554816,ADVENTURING,ANIMALS & TRANSPORTATION,Shade Tabaxii,MOUNT,Giant Riding Lizard,RED CURTAIN,Siras Invictus
10566289,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,CLOTHING,Glamourweave,ARCANTIC,Enthoril Murkywaters
10591294,LUXURY SPECIALTIES,ARMS & ARMOUR,T'avin T'soban,SIMPLE MELEE WEAPON,Javelin of Backbiting,MYTHAL,Arentian Mythrandius
10608994,LUXURY SPECIALTIES,JEWELRY,Lanec Lot,RING,Ring of Spell Storing,U.N.N.,Ruralion Baeneduren
10615306,ADVENTURING,TOOLS & KITS,Kay Glimshine,TOOL KITS,Potter’s tools ,RED CURTAIN,Siras Invictus
10676164,ADVENTURING,ANIMALS & TRANSPORTATION,Shade Tabaxii,MOUNT,Sled,RED CURTAIN,Siras Invictus
10687153,ADVENTURING,ARMS & ARMOUR,T'avin T'soban,MARTIAL MELEE WEAPON,Tentacle Rod,MYTHAL,Arentian Mythrandius
10726016,LUXURY SPECIALTIES,TOOLS & KITS,Kay Glimshine,TOOLS,Rare Crafting Components,BORDERLANDS,Thaldrak Battlehammer
10893656,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,WAND,Wand of Smiles,U.N.N.,Ruralion Baeneduren
10965860,LUXURY SPECIALTIES,ADVENTURING EQUIPMENT,Bubbles,MAGIC UTILITY,Kyrzins Ooze,SABLE,Nundro Rockseeker
11017390,ADVENTURING,TOOLS & KITS,Kay Glimshine,TOOLS,Common Crafting Components,ARCANTIC,Enthoril Murkywaters
11041038,ADVENTURING,ARMS & ARMOUR,T'avin T'soban,MARTIAL RANGED WEAPON,Longbow ,U.N.N.,Ruralion Baeneduren
11052360,ADVENTURING,TOOLS & KITS,Kay Glimshine,TOOLS,Climbers kit ,RED CURTAIN,Siras Invictus
11140770,LUXURY SPECIALTIES,ARMS & ARMOUR,T'avin T'soban,MEDIUM ARMOUR,Dragon Scale Mail,SABLE,Nundro Rockseeker
11153869,ADVENTURING,JEWELRY,Lanec Lot,RING,Ring of Poison Resistance,SABLE,Nundro Rockseeker
11209124,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,MAGIC UTILITY,Keoghtoms Ointment,BORDERLANDS,Thaldrak Battlehammer
11209779,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,SPELL FOCUS,Crystal,BORDERLANDS,Thaldrak Battlehammer
11256716,ADVENTURING,POTIONS & SCROLLS,Bruno Notlot,SCROLL,Smoldering Armor Enchantment,U.N.N.,Ruralion Baeneduren
11364262,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,SPELL FOCUS,Spellbook ,BORDERLANDS,Thaldrak Battlehammer
11535354,LUXURY SPECIALTIES,ADVENTURING EQUIPMENT,Bubbles,HELMET,Helm of Teleportation,SABLE,Nundro Rockseeker
11539502,ADVENTURING,ARMS & ARMOUR,T'avin T'soban,SIMPLE MELEE WEAPON,Hellsteel Simple Melee Weapon,U.N.N.,Ruralion Baeneduren
11582533,ADVENTURING,ARMS & ARMOUR,T'avin T'soban,SIMPLE MELEE WEAPON,Mace of Smiting,BORDERLANDS,Thaldrak Battlehammer
11590588,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,SURVIVAL & WILDERNESS,Boots of False Tracks,U.N.N.,Ruralion Baeneduren
11602354,ADVENTURING,TOOLS & KITS,Kay Glimshine,TOOLS,Chain (10 feet) ,BORDERLANDS,Thaldrak Battlehammer
11619615,LUXURY SPECIALTIES,ARMS & ARMOUR,T'avin T'soban,HEAVY ARMOUR,Heavy Armour +3,RED CURTAIN,Siras Invictus
11660040,ADVENTURING,MUSICAL INSTRUMENT,Balthazaar Viscari,WIND INSTRUMENT,Lute,RED CURTAIN,Siras Invictus
11713425,LUXURY SPECIALTIES,JEWELRY,Lanec Lot,RING,Ring of Regeneration,ARCANTIC,Enthoril Murkywaters
11716264,LUXURY SPECIALTIES,ARMS & ARMOUR,T'avin T'soban,LIGHT ARMOUR,Leather Golem Armour,BORDERLANDS,Thaldrak Battlehammer
11737785,LUXURY SPECIALTIES,ARMS & ARMOUR,T'avin T'soban,WAND,Wand of Viscid Globs,ARCANTIC,Enthoril Murkywaters
11794259,ADVENTURING,ARMS & ARMOUR,T'avin T'soban,LIGHT ARMOUR,Studded leather armour,RED CURTAIN,Siras Invictus
11929061,ADVENTURING,ARMS & ARMOUR,T'avin T'soban,MARTIAL MELEE WEAPON,Maul ,RED CURTAIN,Siras Invictus
12029066,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,HELMET,Mask of the Beast,RED CURTAIN,Siras Invictus
12042414,LUXURY SPECIALTIES,ADVENTURING EQUIPMENT,Bubbles,MAGIC UTILITY,Gavel of the Venn Rune,SABLE,Nundro Rockseeker
12060345,LUXURY SPECIALTIES,SUMMONING DEVICE,Gundren Rockseeker,SUMMONING DEVICE,Elemental Gem,ARCANTIC,Enthoril Murkywaters
12066739,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,CLOTHING,Toque,RED CURTAIN,Siras Invictus
12080329,ADVENTURING,TOOLS & KITS,Kay Glimshine,TOOLS,Pole (3m collapsable),U.N.N.,Ruralion Baeneduren
12083870,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,TOOLS,Scribes Pen,U.N.N.,Ruralion Baeneduren
12096354,ADVENTURING,TOOLS & KITS,Kay Glimshine,TOOLS,Manacles ,U.N.N.,Ruralion Baeneduren
12147094,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,MAGIC UTILITY,Iron Bands of Bilarro,SABLE,Nundro Rockseeker
12150555,LUXURY SPECIALTIES,ARMS & ARMOUR,T'avin T'soban,STAFF,Staff of Charming,RED CURTAIN,Siras Invictus
12237363,LUXURY SPECIALTIES,ADVENTURING EQUIPMENT,Bubbles,MAGIC UTILITY,Feather Token (Tree),U.N.N.,Ruralion Baeneduren
12271598,ADVENTURING,TOOLS & KITS,Kay Glimshine,TOOL KITS,Thieves’ tools ,BORDERLANDS,Thaldrak Battlehammer
12283333,LUXURY SPECIALTIES,ARMS & ARMOUR,T'avin T'soban,MEDIUM ARMOUR,Medium Armour +3,MYTHAL,Arentian Mythrandius
12288198,ADVENTURING,ARMS & ARMOUR,T'avin T'soban,SIMPLE MELEE WEAPON,Staff of Flowers,ARCANTIC,Enthoril Murkywaters
12329047,LUXURY SPECIALTIES,SUMMONING DEVICE,Gundren Rockseeker,SUMMONING DEVICE,Bowl of Commanding Water Elementals,BORDERLANDS,Thaldrak Battlehammer
12353959,LUXURY SPECIALTIES,ANIMALS & TRANSPORTATION,Shade Tabaxii,MOUNT,Giant War Lizard,RED CURTAIN,Siras Invictus
12354764,LUXURY SPECIALTIES,TOOLS & KITS,Kay Glimshine,CONTAINER,Cauldron of Rebirth,SABLE,Nundro Rockseeker
12391880,LUXURY SPECIALTIES,ADVENTURING EQUIPMENT,Bubbles,MAGIC UTILITY,Stone of Good Luck (Luckstone),SABLE,Nundro Rockseeker
12426423,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,SURVIVAL & WILDERNESS,"Tent, two-person ",U.N.N.,Ruralion Baeneduren
12436254,ADVENTURING,POTIONS & SCROLLS,Bruno Notlot,POTIONS & ALCHEMY,Blood of the Lycanthrope Antidote,MYTHAL,Arentian Mythrandius
12438213,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,SPELL FOCUS,Rod,U.N.N.,Ruralion Baeneduren
12444160,LUXURY SPECIALTIES,ARMS & ARMOUR,T'avin T'soban,BRACERS,Braclet of Rock Magic,SABLE,Nundro Rockseeker
12445982,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,MAGIC UTILITY,Dust of Deliciousness,U.N.N.,Ruralion Baeneduren
12460265,LUXURY SPECIALTIES,POTIONS & SCROLLS,Bruno Notlot,POTIONS & ALCHEMY,Potion of Gaseous Form,MYTHAL,Arentian Mythrandius
12499477,ADVENTURING,MUSICAL INSTRUMENT,Balthazaar Viscari,BRASS INSTRUMENT,Horn,U.N.N.,Ruralion Baeneduren
12506088,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,SPELL FOCUS,Totem (Druidic focus),RED CURTAIN,Siras Invictus
12534055,LUXURY SPECIALTIES,ARMS & ARMOUR,T'avin T'soban,MEDIUM ARMOUR,Living Medium Armour,SABLE,Nundro Rockseeker
12566546,LUXURY SPECIALTIES,ADVENTURING EQUIPMENT,Bubbles,BELT / GIRDLE,Belt of Cloud Giant Strength,SABLE,Nundro Rockseeker
12733542,COMMISSIONS,ADVENTURING EQUIPMENT,Bubbles,ROD,Rod of Resurrection,ARCANTIC,Enthoril Murkywaters
12790077,ADVENTURING,ARMS & ARMOUR,T'avin T'soban,SIMPLE MELEE WEAPON,Quarterstaff ,U.N.N.,Ruralion Baeneduren
12797188,LUXURY SPECIALTIES,ADVENTURING EQUIPMENT,Bubbles,HELMET,Helm of Comprehending Languages,BORDERLANDS,Thaldrak Battlehammer
12816694,ADVENTURING,JEWELRY,Lanec Lot,RING,Ring of Swimming,ARCANTIC,Enthoril Murkywaters
12840778,LUXURY SPECIALTIES,POTIONS & SCROLLS,Bruno Notlot,POTIONS & ALCHEMY,Potion of Storm Giant Strength,MYTHAL,Arentian Mythrandius
12856263,ADVENTURING,ARMS & ARMOUR,T'avin T'soban,ARMOUR OTHER,Armour of Vulnerability,SABLE,Nundro Rockseeker
12900081,COMMISSIONS,ARMS & ARMOUR,T'avin T'soban,STAFF,Dragonstaff of Ahghairon,MYTHAL,Arentian Mythrandius
12904245,ADVENTURING,POTIONS & SCROLLS,Bruno Notlot,POTIONS & ALCHEMY,Alchemist’s fire (flask) ,RED CURTAIN,Siras Invictus
12923092,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,IOUN STONE,Ioun Stone - Religious Knowledge,BORDERLANDS,Thaldrak Battlehammer
12954386,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,SURVIVAL & WILDERNESS,"Ball bearings (bag of 1,000) ",RED CURTAIN,Siras Invictus
13035994,ADVENTURING,ARMS & ARMOUR,T'avin T'soban,SIMPLE MELEE WEAPON,Club ,RED CURTAIN,Siras Invictus
13103633,LUXURY SPECIALTIES,ARMS & ARMOUR,T'avin T'soban,AMMUNITION,Arrows +3,SABLE,Nundro Rockseeker
13120912,ADVENTURING,ARMS & ARMOUR,T'avin T'soban,AMMUNITION,Arrows +2,RED CURTAIN,Siras Invictus
13175637,ADVENTURING,ARMS & ARMOUR,T'avin T'soban,MARTIAL MELEE WEAPON,Battleaxe ,RED CURTAIN,Siras Invictus
13249335,LUXURY SPECIALTIES,ADVENTURING EQUIPMENT,Bubbles,MAGIC UTILITY,Mirror of Life Trapping,U.N.N.,Ruralion Baeneduren
13261430,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,SPELL FOCUS,Keycharm,ARCANTIC,Enthoril Murkywaters
13282716,ADVENTURING,POTIONS & SCROLLS,Bruno Notlot,POTIONS & ALCHEMY,Bloodwell Vial,SABLE,Nundro Rockseeker
13315364,ADVENTURING,ARMS & ARMOUR,T'avin T'soban,HEAVY ARMOUR,Splint mail,RED CURTAIN,Siras Invictus
13360454,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,MAGIC UTILITY,Sekolahian Worshiping Statuette,SABLE,Nundro Rockseeker
13435973,LUXURY SPECIALTIES,JEWELRY,Lanec Lot,RING,Ring of Protection,ARCANTIC,Enthoril Murkywaters
13491134,LUXURY SPECIALTIES,JEWELRY,Lanec Lot,AMULET / NECKLACE,Amulet of Protection from Turning,MYTHAL,Arentian Mythrandius
13523472,ADVENTURING,TOOLS & KITS,Kay Glimshine,TOOL KITS,Poisoner’s kit ,BORDERLANDS,Thaldrak Battlehammer
13554698,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,GAUNTLETS / GLOVES,Gloves of Missile Snaring,SABLE,Nundro Rockseeker
13709109,LUXURY SPECIALTIES,ADVENTURING EQUIPMENT,Bubbles,IOUN STONE,Ioun Stone - Language Knowledge,MYTHAL,Arentian Mythrandius
13723867,ADVENTURING,TOOLS & KITS,Kay Glimshine,TOOLS,Mess kit ,BORDERLANDS,Thaldrak Battlehammer
13744270,ADVENTURING,POTIONS & SCROLLS,Bruno Notlot,SCROLL,Mending Clothes Enchantment,ARCANTIC,Enthoril Murkywaters
13786108,LUXURY SPECIALTIES,POTIONS & SCROLLS,Bruno Notlot,SCROLL,Tome of Clear Thought,MYTHAL,Arentian Mythrandius
13836109,ADVENTURING,TOOLS & KITS,Kay Glimshine,TOOLS,Basket ,BORDERLANDS,Thaldrak Battlehammer
13894759,LUXURY SPECIALTIES,ARMS & ARMOUR,T'avin T'soban,HEAVY ARMOUR,Last Stand Armour,ARCANTIC,Enthoril Murkywaters
13897061,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,GOGGLES,Goggles of Object Reading,BORDERLANDS,Thaldrak Battlehammer
13960481,ADVENTURING,ANIMALS & TRANSPORTATION,Shade Tabaxii,MOUNT,Rowboat,U.N.N.,Ruralion Baeneduren
14126368,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,GAUNTLETS / GLOVES,Gloves of Missile Snaring,SABLE,Nundro Rockseeker
14191222,ADVENTURING,POTIONS & SCROLLS,Bruno Notlot,POTIONS & ALCHEMY,Vial (Crate),BORDERLANDS,Thaldrak Battlehammer
14215138,LUXURY SPECIALTIES,ADVENTURING EQUIPMENT,Bubbles,SPELL FOCUS,Fulminating Treatise,SABLE,Nundro Rockseeker
14285650,ADVENTURING,ARMS & ARMOUR,T'avin T'soban,MEDIUM ARMOUR,Scale mail ,U.N.N.,Ruralion Baeneduren
14294155,LUXURY SPECIALTIES,ADVENTURING EQUIPMENT,Bubbles,CLOAK,Wings of Flying,SABLE,Nundro Rockseeker
14363680,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,CLOAK,Cloak of Elvenkind,SABLE,Nundro Rockseeker
14434053,LUXURY SPECIALTIES,ADVENTURING EQUIPMENT,Bubbles,MAGIC UTILITY,Shard of the Ise Rune,U.N.N.,Ruralion Baeneduren
14446191,ADVENTURING,TOOLS & KITS,Kay Glimshine,GAMING SET,Dodecahedron of Doom,BORDERLANDS,Thaldrak Battlehammer
14448104,ADVENTURING,TOOLS & KITS,Kay Glimshine,TOOLS,"Lantern, bullseye ",BORDERLANDS,Thaldrak Battlehammer
14451062,ADVENTURING,ARMS & ARMOUR,T'avin T'soban,MARTIAL RANGED WEAPON,Net,RED CURTAIN,Siras Invictus
14464077,ADVENTURING,ANIMALS & TRANSPORTATION,Shade Tabaxii,MOUNT,Pony,BORDERLANDS,Thaldrak Battlehammer
14475948,ADVENTURING,TOOLS & KITS,Kay Glimshine,TOOL KITS,Cobbler’s tools ,BORDERLANDS,Thaldrak Battlehammer
14497595,LUXURY SPECIALTIES,POTIONS & SCROLLS,Bruno Notlot,POTIONS & ALCHEMY,Potion of Mind Reading,ARCANTIC,Enthoril Murkywaters
14513058,LUXURY SPECIALTIES,ADVENTURING EQUIPMENT,Bubbles,CLOAK,Mantle of Spell Resistance,U.N.N.,Ruralion Baeneduren
14523907,ADVENTURING,TOOLS & KITS,Kay Glimshine,TOOLS,Lock (Box of 12),U.N.N.,Ruralion Baeneduren
14529418,ADVENTURING,MUSICAL INSTRUMENT,Balthazaar Viscari,STRING INSTRUMENT,Dulcimer,RED CURTAIN,Siras Invictus
14594127,LUXURY SPECIALTIES,ADVENTURING EQUIPMENT,Bubbles,IOUN STONE,Ioun Stone - Awareness,RED CURTAIN,Siras Invictus
14638031,LUXURY SPECIALTIES,ADVENTURING EQUIPMENT,Bubbles,MAGIC UTILITY,Banner of the Krig Rune,SABLE,Nundro Rockseeker
14639184,ADVENTURING,TOOLS & KITS,Kay Glimshine,CONTAINER,Burlap Sack (Set of 20),BORDERLANDS,Thaldrak Battlehammer
14667482,ADVENTURING,TOOLS & KITS,Kay Glimshine,TOOLS,Hammer ,RED CURTAIN,Siras Invictus
14831743,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,SPELL FOCUS,Irian Rosewood Focus,SABLE,Nundro Rockseeker
14887423,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,SURVIVAL & WILDERNESS,Barrel,BORDERLANDS,Thaldrak Battlehammer
14903135,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,SURVIVAL & WILDERNESS,Hunting trap ,RED CURTAIN,Siras Invictus
15035849,ADVENTURING,ARMS & ARMOUR,T'avin T'soban,MARTIAL MELEE WEAPON,Maul ,BORDERLANDS,Thaldrak Battlehammer
15152188,COMMISSIONS,SUMMONING DEVICE,Gundren Rockseeker,SUMMONING DEVICE,Cubic Gate,U.N.N.,Ruralion Baeneduren
15169524,ADVENTURING,ARMS & ARMOUR,T'avin T'soban,MARTIAL MELEE WEAPON,Sword of Vengeance,ARCANTIC,Enthoril Murkywaters
15185689,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,SPELL FOCUS,Mabaran Ebony Focus,U.N.N.,Ruralion Baeneduren
15296276,ADVENTURING,POTIONS & SCROLLS,Bruno Notlot,SCROLL,Scroll of Protection (Fey),RED CURTAIN,Siras Invictus
15316814,LUXURY SPECIALTIES,ADVENTURING EQUIPMENT,Bubbles,BOOTS,Boots of the Winterlands,SABLE,Nundro Rockseeker
15339032,LUXURY SPECIALTIES,ARMS & ARMOUR,T'avin T'soban,ARMOUR OTHER,Medium Armour +2,SABLE,Nundro Rockseeker
15355427,ADVENTURING,TOOLS & KITS,Kay Glimshine,TOOLS,"Rope, silk (50 feet) ",BORDERLANDS,Thaldrak Battlehammer
15448139,LUXURY SPECIALTIES,SUMMONING DEVICE,Gundren Rockseeker,SUMMONING DEVICE,Silver Horn of Valhalla,SABLE,Nundro Rockseeker
15473113,COMMISSIONS,ARMS & ARMOUR,T'avin T'soban,HELMET,White Dragon Mask,ARCANTIC,Enthoril Murkywaters
15524866,LUXURY SPECIALTIES,JEWELRY,Lanec Lot,RING,Ring of Temporal Salvation,MYTHAL,Arentian Mythrandius
15692685,LUXURY SPECIALTIES,ANIMALS & TRANSPORTATION,Shade Tabaxii,MOUNT,Riding Steeder,BORDERLANDS,Thaldrak Battlehammer
15710906,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,BOOTS,Boots of Levitation,SABLE,Nundro Rockseeker
15805983,ADVENTURING,TOOLS & KITS,Kay Glimshine,TOOLS,Shovel ,RED CURTAIN,Siras Invictus
15807049,ADVENTURING,POTIONS & SCROLLS,Bruno Notlot,POTIONS & ALCHEMY,Potion of Supreme Healing,RED CURTAIN,Siras Invictus
15839750,LUXURY SPECIALTIES,ADVENTURING EQUIPMENT,Bubbles,CONTAINER,Alchemy Jug,ARCANTIC,Enthoril Murkywaters
15860674,LUXURY SPECIALTIES,POTIONS & SCROLLS,Bruno Notlot,SCROLL,Alchemical Compendium,SABLE,Nundro Rockseeker
15870520,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,SPELL FOCUS,Shavarran Birch Focus,SABLE,Nundro Rockseeker
15896432,LUXURY SPECIALTIES,ADVENTURING EQUIPMENT,Bubbles,MAGIC UTILITY,Feather Token (Anchor),ARCANTIC,Enthoril Murkywaters
15923301,LUXURY SPECIALTIES,ADVENTURING EQUIPMENT,Bubbles,IOUN STONE,Ioun Stone - Agility,MYTHAL,Arentian Mythrandius
15930062,LUXURY SPECIALTIES,ARMS & ARMOUR,T'avin T'soban,SIMPLE MELEE WEAPON,Polymorph Blade,U.N.N.,Ruralion Baeneduren
16026573,ADVENTURING,POTIONS & SCROLLS,Bruno Notlot,SCROLL,Armor of Gleaming Enchantment,ARCANTIC,Enthoril Murkywaters
16054910,LUXURY SPECIALTIES,ARMS & ARMOUR,T'avin T'soban,SIMPLE MELEE WEAPON,Sword of the Paruns,MYTHAL,Arentian Mythrandius
16094924,COMMISSIONS,SUMMONING DEVICE,Gundren Rockseeker,SUMMONING DEVICE,Black Crystal Tablet,MYTHAL,Arentian Mythrandius
16122589,LUXURY SPECIALTIES,ARMS & ARMOUR,T'avin T'soban,SIMPLE MELEE WEAPON,Bonecounter,SABLE,Nundro Rockseeker
16345409,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,SURVIVAL & WILDERNESS,Torch (set of 20),RED CURTAIN,Siras Invictus
16350543,ADVENTURING,POTIONS & SCROLLS,Bruno Notlot,SCROLL,Spell Scroll Level 2,MYTHAL,Arentian Mythrandius
16388666,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,MAGIC UTILITY,Oil of Etherealness,RED CURTAIN,Siras Invictus
16431970,LUXURY SPECIALTIES,ARMS & ARMOUR,T'avin T'soban,ARMOUR OTHER,Armour of Force vulnerability,SABLE,Nundro Rockseeker
16453940,ADVENTURING,ANIMALS & TRANSPORTATION,Shade Tabaxii,LIVESTOCK,Pig,U.N.N.,Ruralion Baeneduren
16484942,ADVENTURING,MUSICAL INSTRUMENT,Balthazaar Viscari,PERCUSSION INSTRUMENT,Tambourine,U.N.N.,Ruralion Baeneduren
16497992,COMMISSIONS,ARMS & ARMOUR,T'avin T'soban,MARTIAL MELEE WEAPON,Whelm,SABLE,Nundro Rockseeker
16532783,COMMISSIONS,POTIONS & SCROLLS,Bruno Notlot,POTIONS & ALCHEMY,Potion of Longevity,SABLE,Nundro Rockseeker
16537514,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,MAGIC UTILITY,Driftglobe,U.N.N.,Ruralion Baeneduren
16569990,LUXURY SPECIALTIES,ADVENTURING EQUIPMENT,Bubbles,CLOAK,Hell Hound Cloak,SABLE,Nundro Rockseeker
16627784,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,MAGIC UTILITY,Lock of Trickery,RED CURTAIN,Siras Invictus
16628336,LUXURY SPECIALTIES,ARMS & ARMOUR,T'avin T'soban,WAND,Wand of Lightning Bolts,U.N.N.,Ruralion Baeneduren
16653920,ADVENTURING,MUSICAL INSTRUMENT,Balthazaar Viscari,WIND INSTRUMENT,Flute,U.N.N.,Ruralion Baeneduren
16700971,LUXURY SPECIALTIES,ADVENTURING EQUIPMENT,Bubbles,MAGIC UTILITY,Decanter of Endless Water,SABLE,Nundro Rockseeker
16729191,ADVENTURING,JEWELRY,Lanec Lot,RING,Ring of Swimming,SABLE,Nundro Rockseeker
16790435,LUXURY SPECIALTIES,POTIONS & SCROLLS,Bruno Notlot,SCROLL,Tome of Leadership and Influence,MYTHAL,Arentian Mythrandius
16792229,ADVENTURING,MUSICAL INSTRUMENT,Balthazaar Viscari,WIND INSTRUMENT,Pipes of the Sewers,SABLE,Nundro Rockseeker
16920167,LUXURY SPECIALTIES,ADVENTURING EQUIPMENT,Bubbles,BOOTS,Boots of the Winterlands,ARCANTIC,Enthoril Murkywaters
16971428,LUXURY SPECIALTIES,ADVENTURING EQUIPMENT,Bubbles,MAGIC UTILITY,Feather Token (Whip),U.N.N.,Ruralion Baeneduren
17103636,LUXURY SPECIALTIES,ADVENTURING EQUIPMENT,Bubbles,IOUN STONE,Ioun Stone - Vitality,SABLE,Nundro Rockseeker
17113031,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,MAGIC UTILITY,Orb of Shielding,SABLE,Nundro Rockseeker
17120543,LUXURY SPECIALTIES,ADVENTURING EQUIPMENT,Bubbles,SPELL FOCUS,Outer Essence Shard,SABLE,Nundro Rockseeker
17163885,LUXURY SPECIALTIES,ADVENTURING EQUIPMENT,Bubbles,MAGIC UTILITY,Feather Token (Tree),RED CURTAIN,Siras Invictus
17259726,LUXURY SPECIALTIES,ARMS & ARMOUR,T'avin T'soban,STAFF,Staff of Frost,RED CURTAIN,Siras Invictus
17270650,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,CLOTHING,Military Boots,U.N.N.,Ruralion Baeneduren
17286648,COMMISSIONS,ADVENTURING EQUIPMENT,Bubbles,CLOAK,Cloak of Invisibility,MYTHAL,Arentian Mythrandius
17324378,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,MAGIC UTILITY,Candle of the Deep,ARCANTIC,Enthoril Murkywaters
17378212,ADVENTURING,TOOLS & KITS,Kay Glimshine,TOOLS,"Lantern, hooded ",U.N.N.,Ruralion Baeneduren
17379944,ADVENTURING,TOOLS & KITS,Kay Glimshine,SURVIVAL & WILDERNESS,Candle (Set of 24),RED CURTAIN,Siras Invictus
17435769,ADVENTURING,ARMS & ARMOUR,T'avin T'soban,SHIELD,Shield ,U.N.N.,Ruralion Baeneduren
17461212,ADVENTURING,TOOLS & KITS,Kay Glimshine,CONTAINER,Bucket and Rope,RED CURTAIN,Siras Invictus
17586583,LUXURY SPECIALTIES,ADVENTURING EQUIPMENT,Bubbles,SPELL FOCUS,Earth Elemental Essence Shard,RED CURTAIN,Siras Invictus
17637912,ADVENTURING,MUSICAL INSTRUMENT,Balthazaar Viscari,PERCUSSION INSTRUMENT,Drum,RED CURTAIN,Siras Invictus
17641361,LUXURY SPECIALTIES,ARMS & ARMOUR,T'avin T'soban,MARTIAL RANGED WEAPON,Arcane Firearm,SABLE,Nundro Rockseeker
17681252,COMMISSIONS,ARMS & ARMOUR,T'avin T'soban,MARTIAL MELEE WEAPON,Ruinblade,SABLE,Nundro Rockseeker
17714538,ADVENTURING,ARMS & ARMOUR,T'avin T'soban,MEDIUM ARMOUR,Serpent Scale Armour,BORDERLANDS,Thaldrak Battlehammer
17780024,ADVENTURING,ADVENTURING EQUIPMENT,Bubbles,SPELL FOCUS,Component pouch ,BORDERLANDS,Thaldrak Battlehammer
17827083,ADVENTURING,MUSICAL INSTRUMENT,Balthazaar Viscari,WIND INSTRUMENT,Pipes of the Sewers,MYTHAL,Arentian Mythrandius
